price,year,mileage,make,model,body,age,mileage_per_year,high_mileage
1600,2019,1000,international harvester,other,,6,166.66666666666666,0
1600,2019,117000,chevrolet,other pickups,cab & chassis,6,19500.0,0
2860,2019,234545,ford,f-150,,6,39090.833333333336,1
5000,2019,100000,international harvester,other,suv,6,16666.666666666668,0
19300,2019,100000,chevrolet,impala,coupe,6,16666.666666666668,0
5200,2019,52740,cadillac,fleetwood,limousine,6,8790.0,0
9010,2019,104000,chevrolet,c-10,standard cab pickup,6,17333.333333333332,0
7500,2019,132000,chevrolet,corvette,coupe,6,22000.0,0
2980,2020,148000,chevrolet,trailblazer,suv,5,29600.0,0
10900,2020,85000,chevrolet,el camino,,5,17000.0,0
29100,2019,104,porsche,911,convertible,6,17.333333333333332,0
4000,2020,282040,ford,f-350,crew cab pickup,5,56408.0,1
2180,2020,128243,chevrolet,corvette,coupe,5,25648.6,0
3500,2019,163300,mazda,mx-5 miata,convertible,6,27216.666666666668,1
6500,2019,20,replica/kit makes,bra morgan,trike,6,3.3333333333333335,0
2050,2020,163000,toyota,corolla,sedan,5,32600.0,1
1200,2019,305319,chevrolet,tahoe,suv,6,50886.5,1
7100,2019,37300,chevrolet,corvette stingray,coupe,6,6216.666666666667,0
9100,2019,84592,dodge,b200 van,extended passenger van,6,14098.666666666666,0
13100,2020,95846,bmw,m3,coupe,5,19169.2,0
7000,2019,15033,jeep,m151a1,,6,2505.5,0
5200,2019,87000,ford,mustang,coupe,6,14500.0,0
15900,2019,18352,ford,f-150,regular cab pickup,6,3058.6666666666665,0
5150,2019,35000,chevrolet,other pickups,,6,5833.333333333333,0
1500,2020,175622,mini,cooper s,hatchback,5,35124.4,1
5300,2019,46918,pontiac,six silver streak,,6,7819.666666666667,0
8000,2019,10000,volkswagen,bus/vanagon,van camper,6,1666.6666666666667,0
38000,2020,500,mercedes-benz,300-series,,5,100.0,0
11200,2019,688,ford,other pickups,roadster pickup,6,114.66666666666667,0
6000,2019,108772,ford,mustang,fastback,6,18128.666666666668,0
17200,2019,10000,chevrolet,chevelle,,6,1666.6666666666667,0
6800,2019,121000,chevrolet,corvette,convertible,6,20166.666666666668,0
6000,2020,93273,mazda,mx-5 miata,convertible,5,18654.6,0
6800,2019,89700,toyota,supra,hatchback w/ targa top,6,14950.0,0
15500,2019,5800,ford,galaxie,,6,966.6666666666666,0
4000,2020,78000,desoto,explorer,station wagon,5,15600.0,0
1530,2019,0,pontiac,bonneville,,6,0.0,0
85000,2020,30,chevrolet,corvette,coupe,5,6.0,0
14000,2019,40000,mercedes-benz,g-class,,6,6666.666666666667,0
15500,2019,85200,acura,mdx,suv,6,14200.0,0
3900,2019,89000,gmc,sierra 2500,standard cab pickup,6,14833.333333333334,0
5000,2019,0,volkswagen,beetle - classic,,6,0.0,0
3300,2019,112764,cadillac,fleetwood,hearse,6,18794.0,0
21500,2019,81565,cadillac,commercial chassis,hearse,6,13594.166666666666,0
4200,2019,112000,cadillac,commercial chassis,hearse,6,18666.666666666668,0
3600,2020,85732,land rover,range rover,suv,5,17146.4,0
8500,2019,78000,honda,odyssey,minivan,6,13000.0,0
8600,2019,95000,bmw,3-series,sedan,6,15833.333333333334,0
4200,2020,123279,ford,expedition,,5,24655.8,0
1580,2019,77087,mazda,rx-8,coupe,6,12847.833333333334,0
20300,2019,0,chevrolet,camaro,coupe,6,0.0,0
660,2020,188000,gmc,safari,van camper,5,37600.0,1
1400,2019,183023,chevrolet,monte carlo,coupe,6,30503.833333333332,1
5000,2020,143568,chevrolet,g20 van,standard cargo van,5,28713.6,0
14700,2020,104015,volkswagen,eurovan,van camper,5,20803.0,0
10200,2019,75370,volkswagen,bus/vanagon,van camper,6,12561.666666666666,0
3000,2019,157000,chevrolet,silverado 1500,crew cab pickup,6,26166.666666666668,1
10750,2019,72000,chevrolet,express,extended passenger van,6,12000.0,0
3050,2019,146373,ford,f-250,extended crew cab pickup,6,24395.5,0
1180,2020,177000,ford,escape,suv,5,35400.0,1
